id	Name	id_sub	Town	Prefecture	lat	long	facility type	corroboration level	ETNAM 	Shawn Zhang list	Shawn Zhang #	ASPI 2020 #	XJVDB	Media reports	Researchers	Links	Links 2	Links 3	Links 4
858	Yining County - III		Yining County	Ili	43.9731734734505	81.523397278062		Pre-2016 programme - detention centre	P_GH05										
859	Kokdala - I		Kokdala	XPCC	44.133529458558	80.7724976123497		Pre-2016 programme - detention centre	P_GH09										
860	Kokdala - II		Kokdala	XPCC	43.9725188805602	81.0017873749144	detention center	Satellite - strong	P_GH10			377							
861	Huocheng - III		Huocheng	Ili	44.0462757285578	80.9098393933976	detention center	corroborated	P_GH11			366	XJV DB			https://shahit.biz/eng/#facilities			
862	Gongliu - II		Gongliu	Ili	43.4839656928272	82.2335772123601	detention center	closed	P_GH14										
863	Xinyuan - V		Xinyuan	Ili	43.4289804293586	83.2524746659948		Pre-2016 programme - detention centre	P_GH16										
864			Zhaosu	Ili	43.0178876088416	80.9524342560088		Pre-2016 programme	P_GH20										
865			Zhaosu	Ili	43.0175167035835	80.9537431740081		Pre-2016 programme	P_GH21										
866	Jinghe - II		JInghe	Bortala	44.5982764539752	82.8890354466683	detention center	closed	P_BO04										
867			Tacheng	Tacheng	46.7314176176648	82.9089340789197		Pre-2016 programme	P_CH01										
868			Emin	Tacheng	46.5112114107397	83.6039275911401		Pre-2016 programme	P_CH04										
869			Toli	Tacheng	45.9279675885635	83.6019407024177		Pre-2016 programme	P_CH09										
870			Shawan	Tacheng	44.5688350073929	85.5502516893524		Pre-2016 programme	P_CH12										
871	Usu - III		Usu	Tacheng	44.422938852711	84.6645799842915		Pre-2016 programme - detention centre	P_CH13										
872	Usu - IV		Usu	Tacheng	44.4299238077034	84.7358204700088	prison - medium security	corroborated	P_CH14			368	XJV DB			https://shahit.biz/eng/#facilities			
873			Huyanghe	XPCC	44.9812059591578	84.5070455201737		Pre-2016 programme	P_CH15										
874	Beitun - I		Beitun	XPCC	47.3567115691395	87.8214583255205		Pre-2016 programme - detention centre	P_AL03			279							
875	Beitun - II		Beitun	XPCC	47.3283588670399	87.7856738588708	detention center	Satellite - strong	P_AL04, C_AL02 			181							
876	Changji - IV		Changji	Changji	44.0285478839482	87.2195466623489		Pre-2016 programme - detention centre	P_SA01										
877	Changji - V		Changji	Changji	44.1748756770283	87.1979397666281	prison - medium security	Satellite - strong	P_SA02, C_SA05 			179							
878	z		Manas	Changji	44.5285783852579	86.6478436286655		Pre-2016 programme	P_SA07										
879	Manas - II		Manas	Changji	44.3116736804052	86.2116901640827		Pre-2016 programme - detention centre	P_SA08										
880	Fukang - III		Fukang	Changji	44.1640980999694	87.9529494414291		Pre-2016 programme - detention centre	P_SA10			145							
881			Baijiantan	Karamay	45.6929652685275	85.130104758625		Pre-2016 programme	P_QA04										
882	Dushanzi - II		Dushanzi	Karamay	44.3179594152283	84.8897048657626	detention center	closed	P_QA05										
883	Kuytun - II		Kuytun	Ili	44.4174545189653	84.7919609421042	prison - high security	corroborated	P_KU01				XJVDB		Laogai handbook	https://web.archive.org/web/20120228232013/http://www.laogai.it/wp-content/uploads/2009/06/laogai-handbook.pdf	https://shahit.biz/eng/#facilities		
884			Shihezi	Shihezi	44.2467365939553	85.9505888016289		Pre-2016 programme	P_SH01										
885	Shiheze - III		Shihezi	XPCC	44.248856732481	85.9518226177757	prison - medium security	Satellite - strong	P_SH02										
886	Shihezi - IV	A	Shihezi	XPCC	44.2440040936948	85.95758890903	detention center	Satellite - strong	P_SH04			2							
887	Shihezi - V		Shihezi	Shihezi	44.3165734093542	86.0309422328909		Pre-2016 programme - detention centre	P_SH05										
888	Shihezi - VI		Shihezi	Shihezi	44.2822453449213	86.0228971721073		Pre-2016 programme	P_SH06										
889	Wujiaqu - I		Wujiaqu	XPCC	44.1768052234769	87.5156995231084	detention center	corroborated	P_WU01				XJV DB			https://shahit.biz/eng/#facilities			
890	Wujiaqu - II		Wujiaqu		44.1737052608099	87.514190728385	camp	Satellite - medium	P_WU02										
891	Saybagh - III		Saybagh	örÅmqi	43.7322563134374	87.5427455609075	camp	Satellite - strong	C_UR01			100							
892	Xinshi - IX		Xinshi	örÅmqi	43.9980216707854	87.5169755484301	camp	corroborated	C_UR02			70		WSJ		https://www.youtube.com/watch?v=6sUEek-u14w			
893	Toutunhe - IV		Toutunhe	örÅmqi	43.9613477652417	87.3943153002568	camp	Satellite - medium	C_UR03			346							
894	Shule - VII		Shule	Kashgar	39.4074554126466	76.0967327272261	camp	Satellite - medium	C_QE09			335							
895	Shache - XI		Shache	Kashgar	38.4156986000692	77.1505541290522	camp	Satellite - medium	C_QE30			116							
896	Zepu - IV		Zepu	Kashgar	38.1736312588424	77.2743263074744	camp	Satellite - medium	C_QE35			131							
898	Artux - VII		Artux	Kizilsu	39.6668725333529	76.0551216688445	camp	Satellite - medium	C_AR02										
899	Artux - VIII		Artux	Kizilsu	39.7025373476848	76.1757534152078	camp	Satellite - medium	C_AR04			153							
901	Akto - V		Akto	Kizilsu	39.1564715687164	75.9372406825352	camp	Satellite - medium	C_AR09			323							
902	Akto - VI		Akto	Kizilsu	39.247323473888	76.0153907869219	camp	Satellite - medium	C_AR10			198							
903	Hotan City - V		Hotan City	Hotan	37.0718136627567	79.9007522095558	camp	Satellite - medium	C_HO02			338							
904	Karakax - IX		Karakax	Hotan	37.2939224860574	79.6330657902058	camp	probably closed	C_HO16			11							
905	Karakax - XI		Karakax	Hotan	37.3221688341206	79.5570662380809	camp	probably closed	C_HO17										
907	Yutian - V		Yutian	Hotan	36.8469205204317	81.507112845963	camp	Satellite - medium	C_HO23			107							
908	Wushi - III		Wushi	Aksu	41.2827446245454	79.3287708650432	camp	Satellite - medium	C_AQ07			122							
909	Awat - III		Awat	Aksu	40.670149992539	80.3512914640709	camp	Satellite - medium	C_AQ09			316							
910	Awat - IV		Awat	Aksu	40.6468984716451	80.354198359747	camp	Satellite - medium	C_AQ10			61							
911	Aral - II		Aral	XPCC	40.6412680921133	81.502142422565	prison - medium security	Satellite - strong	C_AQ17			234							
912	Aral - III		Aral	XPCC	40.5646857023558	81.2362735373208	prison - medium security	Satellite - strong	C_AQ19			244							
913	Korla - VIII		Korla	Bayingolin	41.7363440084517	86.1359739818011	camp	Satellite - medium	C_KO03			171							
914	Yanqi - III		Yanqi	Bayingolin	42.0584711498764	86.5536705140474	camp	Satellite - medium	C_KO07			155							
915	Hejing - III		Hejing	Bayingolin	42.3348526579485	86.338532852095	camp	Satellite - medium	C_KO08			327							
916	Hoxud - III		Hoxud	Bayingolin	42.2936678294881	86.880143567407	camp	Satellite - medium	C_KO09			101							
917	Qiemo - IV		Qiemo	Bayingolin	38.1453450746574	85.5236700635709	camp	Satellite - medium	C_KO11			24							
918	Shanshan - IV		Shanshan	Turpan	42.8601590190634	90.2221329182212	camp	Satellite - medium	C_TU08			248							
919	Shanshan - V		Shanshan	Turpan	42.8768025122899	90.2370377776599	camp	Satellite - medium	C_TU09			237							
920	Yizhou - V		Yizhou	Hami	42.8558510554351	93.480517844608	prison - medium security	Satellite - strong	C_QU03			28							
921	Yining City - VI		Yining City	Ili	43.8985382396824	81.3059165667995	camp	Satellite - medium	C_GH01			165							
922	Yining City - IX		Yining City	Ili	43.9091403624116	81.3200615266974	camp	closed	C_GH03			79		Bitter Winter		https://bitterwinter.org/hospitals-turned-into-internment-Pre-2016 programme - detention centres/			
923	Yining City - VII		Yining City	Ili	43.9633174072712	81.3109848157437	prison - medium security	corroborated	C_GH04			10	XJV DB		Laogai handbook	https://web.archive.org/web/20120228232013/http://www.laogai.it/wp-content/uploads/2009/06/laogai-handbook.pdf	https://shahit.biz/eng/#facilities		
924	Yining County - IV		Yining County	Ili	43.9560472074551	81.4775878857528	camp	Satellite - medium	C_GH06			314							
925	Yining County - IX		Yining County	Ili	43.9755648784834	81.5012427803509	camp	Satellite - medium	C_GH08			5							
926	Yining County - V		Yining County	Ili	43.9781896196006	81.4966057955049	camp	corroborated	C_GH09	Shawn Zhang	24	39				https://medium.com/@shawnwzhang/satellite-imagery-of-xinjiang-re-education-Pre-2016 programme - detention centre-24-%E6%96%B0%E7%96%86%E5%86%8D%E6%95%99%E8%82%B2%E9%9B%86%E4%B8%AD%E8%90%A5%E5%8D%AB%E6%98%9F%E5%9B%BE-24-3f39057838fe			
927	Yining County - VI		Yining County	Ili	43.9790819616353	81.5309707506976	camp	Satellite - medium	C_GH11			143							
928	Qapqal - III		Qapqal	Ili	43.8375300824889	81.1298396037087	camp	Satellite - medium	C_GH13			103							
929	Qapqal - IV		Qapqal	Ili	43.8277740704372	81.1953078937211	camp	Satellite - medium	C_GH15			95							
930	Huocheng - IV		Huocheng	Ili	44.0630809824322	80.8808394846645	camp	Satellite - medium	C_GH17			34							
931	Huocheng - V		Huocheng	Ili	44.18636914829	80.7550469214764	camp	Satellite - medium	C_GH18			92							
932	Tekes - II		Tekes	Ili	43.2340326916423	81.8379022534951	camp	Satellite - medium	C_GH22			85							
933	Emin - III		Emin	Tacheng	46.5357685331452	83.6556725791179	camp	Satellite - medium	C_CH02			313							
934	Shawan - II		Shawan	Tacheng	44.3303187363367	85.5996279418817	camp	Satellite - medium	C_CH05			344							
935	Usu - V		Usu	Tacheng	44.4251352525188	84.6464140166317	camp	Satellite - medium	C_CH06			349							
936	Usu - VI		Usu	Tacheng	44.4317471073778	84.6686012078363	camp	corroborated	C_CH08			130		Bitter Winter		https://bitterwinter.org/buildings-converted-into-Pre-2016 programme - detention centres-for-muslims/			
937	Usu - VII		Usu	Tacheng	44.4478092422212	84.7263312324518	prison - medium security	Satellite - medium	C_CH10			219							
938	Habahe - II		Habahe	Altay	48.0212789251968	86.4168676048912	camp	Satellite - medium	C_AL04			158							
939	Changji - VI		Changji	Changji	44.0793327965227	87.3995366768399	camp	Satellite - medium	C_SA01			42							
940	Changji - VII		Changji	Changji	44.0837510188854	87.307039475384	camp	Satellite - medium	C_SA02			325							
941	Qitai - II		Qitai	Changji	44.0082658149638	89.486974698116	detention center	Satellite - strong	C_SA11			120							
942	Mori - II		Mori	Changji	43.8118825994955	90.2806044713558	camp	Satellite - medium	C_SA12			9							
943	Wujiaqu - III		Wujiaqu	XPCC	44.1849756707971	87.562747856374	camp	Satellite - medium	C_WU01			254							
944	Xinshi - XI		Xinshi	örÅmqi	43.8967027527919	87.5769750242052	detention center	corroborated	P_UR01			264	XJV DB			https://shahit.biz/eng/#facilities			
945	Minfeng - IV		Minfeng	Hotan	37.0224387576027	82.6850633004467	camp	Satellite - medium	C_HO24			114							
946	Kuqa - III	B	Kuqa	Aksu	41.7519860972262	83.0215187347558	detention center	corroborated	P_AQ19, C_AQ16 	Shawn Zhang	34					https://medium.com/@shawnwzhang/satellite-imagery-of-xinjiang-re-education-Pre-2016 programme - detention centre-34-%E6%96%B0%E7%96%86%E5%86%8D%E6%95%99%E8%82%B2%E9%9B%86%E4%B8%AD%E8%90%A5%E5%8D%AB%E6%98%9F%E5%9B%BE-34-7a9890946fb3			
947	Changji - VIII		Changji	Changji	44.1000150412229	87.0039516875977	prison - medium security	Satellite - strong	P_SA05, C_SA03, C_SA04 			89							
949	Dabancheng - II		Dabancheng	örÅmqi	43.3795982580635	88.2729913483662	prison - medium security	Satellite - strong				124							
